ID,Yield (Ton./Ha.),District,Year,Is_Synthetic,Germination_Rainfall_Total,Germination_Rainy_Weeks,Germination_Max_Weekly_Rain,Germination_Mean_Temp,Germination_Heat_Stress_Weeks,Germination_Night_Stress_Weeks,Germination_Mean_Humidity,Germination_Mean_Solar,Vegetative_Rainfall_Total,Vegetative_Rainy_Weeks,Vegetative_Max_Weekly_Rain,Vegetative_Mean_Temp,Vegetative_Heat_Stress_Weeks,Vegetative_Night_Stress_Weeks,Vegetative_Mean_Humidity,Vegetative_Mean_Solar,Reproductive_Rainfall_Total,Reproductive_Rainy_Weeks,Reproductive_Max_Weekly_Rain,Reproductive_Mean_Temp,Reproductive_Heat_Stress_Weeks,Reproductive_Night_Stress_Weeks,Reproductive_Mean_Humidity,Reproductive_Mean_Solar,Ripening_Rainfall_Total,Ripening_Rainy_Weeks,Ripening_Max_Weekly_Rain,Ripening_Mean_Temp,Ripening_Heat_Stress_Weeks,Ripening_Night_Stress_Weeks,Ripening_Mean_Humidity,Ripening_Mean_Solar,Germination_Rain_x_Temp,Germination_Heat_x_Humidity,Vegetative_Rain_x_Temp,Vegetative_Heat_x_Humidity,Reproductive_Rain_x_Temp,Reproductive_Heat_x_Humidity,Ripening_Rain_x_Temp,Ripening_Heat_x_Humidity
0,0.79,Narmada,2017,1,27.97727158529436,2.0,14.548181224353067,31.0682872818078,2.0,1.0,70.06363248481915,226.8714286,750.1978206180385,7.0,200.41900008374503,27.856017641517948,3.0,0.0,85.3203075165651,155.71224489857144,355.97263009798166,6.0,170.61048890377683,27.323023365697082,0.0,0.0,84.96488380366152,164.5595238,80.6762776986852,3.0,27.16338732099489,28.346951343947044,7.0,0.0,69.61659494905462,213.5464285625,869.2059109730836,140.1272649696383,20897.523725764397,255.96092254969528,9726.248489715797,0.0,2286.9265185353893,487.3161646433823
1,2.79,Surat,2022,1,0.0,0.0,0.0,30.69933543992024,2.0,2.0,67.38657342285963,291.5714286,0.0,0.0,0.0,27.446377,0.0,0.0,51.515553,251.66614011538462,0.0,0.0,0.0,27.446377,0.0,0.0,51.515553,251.66614011538462,0.0,0.0,0.0,27.446377,0.0,0.0,51.515553,251.66614011538462,0.0,134.77314684571925,0.0,0.0,0.0,0.0,0.0,0.0
2,2.92,Valsad,2022,1,18.585645077307326,1.0,14.390239867982874,30.494006939020302,1.0,2.0,68.39295975886048,272.33571429999995,0.0,0.0,0.0,27.274911999999997,0.0,0.0,55.318670000000004,250.4087912076923,0.0,0.0,0.0,27.274911999999997,0.0,0.0,55.318670000000004,250.4087912076923,0.0,0.0,0.0,27.274911999999997,0.0,0.0,55.318670000000004,250.4087912076923,566.7507899535781,68.39295975886048,0.0,0.0,0.0,0.0,0.0,0.0
3,2.91,Navsari,2017,1,251.78493165237282,2.0,238.8137560091481,31.040549765842812,2.0,1.0,75.78178394617345,226.4357143,0.0,0.0,0.0,27.326714,0.0,0.0,59.916588000000004,257.33537088076923,0.0,0.0,0.0,27.326714,0.0,0.0,59.916588000000004,257.33537088076923,0.0,0.0,0.0,27.326714,0.0,0.0,59.916588000000004,257.33537088076923,7815.54270124481,151.5635678923469,0.0,0.0,0.0,0.0,0.0,0.0
4,1.03,Narmada,2021,1,36.859577192030386,1.0,34.586734630591515,30.483560584223056,2.0,1.0,68.74500749895265,237.3071429,430.35779804636024,7.0,112.3574779285216,28.487911817632437,3.0,3.0,80.4552526829693,167.91632654428574,235.78271093883245,6.0,75.99199694549965,27.346565912602234,0.0,0.0,83.47977758248176,145.89761905,571.6693138227769,6.0,204.35819204589504,26.92308357906415,3.0,1.0,76.08710134080238,181.8607143,1123.6111544421046,137.4900149979053,12259.99500077518,241.3657580489079,6447.847445740821,0.0,15391.100715636876,228.26130402240713
5,2.38,Bharuch,2021,1,36.71706571230054,1.0,36.488348823694935,31.230228191779275,2.0,1.0,69.81071602048672,253.1,0.0,0.0,0.0,27.415378999999998,0.0,0.0,57.12721,248.64141483846154,0.0,0.0,0.0,27.415378999999998,0.0,0.0,57.12721,248.64141483846154,0.0,0.0,0.0,27.415378999999998,0.0,0.0,57.12721,248.64141483846154,1146.6823407277004,139.62143204097345,0.0,0.0,0.0,0.0,0.0,0.0
6,0.79,Narmada,2017,1,28.529263671384307,2.0,14.83521710911984,31.13019319026874,2.0,1.0,69.94844190754277,226.8714286,764.9992375010468,7.0,204.37327066409847,27.911522860153287,3.0,0.0,85.18003366652798,155.71224489857144,362.9959766769952,6.0,173.97663700695082,27.377466552989983,1.0,0.0,84.82519430047047,164.5595238,82.26802215057364,3.0,27.69932145548949,28.403434785056223,7.0,0.0,69.50213933954942,213.5464285625,888.1214896663091,139.89688381508554,21352.2937055103,255.54010099958393,9937.910210344367,84.82519430047047,2336.6944020493793,486.5149753768459
7,2.79,Surat,2022,1,9.1051275,1.0,7.081765833333333,30.636207261184893,2.0,2.0,69.51898272190135,291.5714286,0.0,0.0,0.0,27.389937999999997,0.0,0.0,53.14573299999999,251.66614011538462,0.0,0.0,0.0,27.389937999999997,0.0,0.0,53.14573299999999,251.66614011538462,0.0,0.0,0.0,27.389937999999997,0.0,0.0,53.14573299999999,251.66614011538462,278.94657322951423,139.0379654438027,0.0,0.0,0.0,0.0,0.0,0.0
8,2.94,Tapi,2021,1,45.98293222471911,1.0,43.12133343820226,29.94743202292746,1.0,1.0,75.54216826969078,212.6285714,429.63452125842707,7.0,187.48405842696636,28.54915978728408,1.0,3.0,81.9867834298033,160.21836734285716,503.8387380674158,6.0,189.4575748314607,27.304104294177208,0.0,2.0,85.47956064231654,141.97857143333334,557.4197084494383,5.0,255.27434692134835,27.432830084761648,3.0,0.0,76.22552669976199,178.055357125,1377.070737014656,75.54216826969078,12265.704597540132,81.9867834298033,13756.865451639354,0.0,15291.600147790818,228.67658009928596
9,2.7,Valsad,2016,1,6.400598368203471,0.0,4.800448776152603,31.195959441798347,2.0,2.0,75.20212093677898,275.65,1136.1452140024223,7.0,308.0117948803765,28.349878920931808,1.0,5.0,85.09855968770528,155.81020409,743.7425297307781,6.0,329.75782783634776,27.337505518493444,0.0,4.0,86.53730594510058,150.583333345,449.8830578985965,4.0,185.69335978352305,27.47530744486499,2.0,0.0,77.50153058023764,185.6517857175,199.67280709771617,150.40424187355796,32209.57925356483,85.09855968770528,20332.06551085342,0.0,12360.675329999936,155.00306116047528
