Index,District,Season,Crop,Year,duration,Area ( in Hectare),Production ( in Tonnes),Yield (Ton./Ha.),Total duration of weeks (SMW),week,tempmax,tempmin,temp,dew,humidity,precip,precipcover,preciptype,windgust,windspeed,winddirection,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,suntime(hrs.)
0,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,22,40.1,27.9,31.91428571,23.82857143,64.78571429,6.5,5.952857143,no rain,30.35115331,25.67142857,241.1285714,1004.9,48.2,5.2,257.1,22.22857143,8.142857143,13
1,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,23,36.0,25.1,29.52857143,25.41428571,79.92857143,217.3,23.21428571,rain,30.35115331,21.8,231.3857143,1003.414286,73.92857143,4.057142857,164.1714286,14.18571429,5.571428571,13
2,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,24,31.9,24.1,28.01428571,25.9,88.72857143,297.0,13.09571429,rain,30.35115331,23.3,221.4571429,998.8142857,82.98571429,3.757142857,179.1428571,15.42857143,6.0,13
3,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,25,31.9,24.7,28.07142857,25.48571429,86.42857143,178.8,17.85857143,rain,30.35115331,21.65714286,229.9571429,1002.971429,66.85714286,4.371428571,232.3714286,20.1,7.285714286,13
4,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,26,31.1,25.7,27.71428571,25.65714286,88.84285714,102.9,25.59571429,rain,30.35115331,28.02857143,226.6,1004.014286,81.11428571,4.2,182.1142857,15.74285714,6.0,13
5,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,27,31.7,24.1,27.68571429,25.7,89.17142857,71.4,32.14428571,rain,30.35115331,25.97142857,235.4571429,1002.271429,85.27142857,4.3,161.7714286,13.88571429,5.714285714,13
6,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,28,31.1,24.3,26.72857143,25.07142857,91.07142857,281.7,18.45285714,rain,30.35115331,25.5,243.2142857,1002.571429,90.27142857,3.9,125.9714286,10.84285714,4.428571429,13
7,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,29,29.1,25.1,26.68571429,25.3,92.38571429,207.3,10.12,rain,30.35115331,27.01428571,240.3,1002.014286,90.35714286,3.8,139.6857143,12.08571429,4.571428571,13
8,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,30,29.4,24.9,26.55714286,25.12857143,92.01428571,90.0,11.31,rain,30.35115331,33.61428571,237.4571429,1001.385714,93.18571429,3.785714286,139.1142857,12.0,4.714285714,13
9,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,31,29.2,23.9,26.12857143,24.52857143,91.25714286,220.0,21.42714286,rain,30.35115331,27.32857143,238.9857143,1002.728571,83.87142857,3.728571429,207.1571429,17.82857143,6.714285714,13
10,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,32,30.4,24.5,26.57142857,24.62857143,89.24285714,30.7,17.26142857,rain,30.35115331,25.24285714,236.3857143,1006.114286,85.35714286,4.071428571,181.8285714,15.71428571,6.142857143,12
11,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,33,30.0,24.2,26.75714286,24.75714286,89.2,35.5,5.952857143,rain,30.35115331,23.81428571,235.4857143,1004.642857,75.25714286,4.157142857,230.6285714,19.91428571,7.571428571,12
12,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,34,30.7,24.1,26.55714286,24.3,87.95714286,25.6,5.951428571,rain,30.35115331,21.72857143,250.8571429,1005.542857,88.61428571,3.971428571,171.3428571,14.77142857,6.0,12
13,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,35,31.7,23.5,27.11428571,24.21428571,84.81428571,6.1,4.167142857,no rain,30.35115331,18.88571429,234.9428571,1008.557143,56.84285714,4.757142857,260.8,22.47142857,8.428571429,12
14,Bharuch,Kharif,Rice,2013,2013-2014,11260,15672,1.39,22-44,36,32.9,23.5,27.01428571,23.94285714,84.04285714,13.0,9.524285714,rain,30.35115331,16.94285714,253.8857143,1009.185714,53.5,4.757142857,263.6571429,22.77142857,8.571428571,12
